,Unnamed: 0,game_date,game_pk,hits,at_bats,home_runs,player_name,home_team,is_home,starting_pitcher_id,starting_pitcher_throws,batter_days_since_prev_game
206,206.0,2018-04-17 00:00:00,529663,0,4,0,"Judge, Aaron",NYY,1,606424,L,1.0
207,207.0,2018-04-19 00:00:00,529690,1,4,1,"Judge, Aaron",NYY,1,592717,R,2.0
208,208.0,2018-04-20 00:00:00,529704,1,5,0,"Judge, Aaron",NYY,1,462136,R,1.0
209,209.0,2018-04-21 00:00:00,529719,2,5,1,"Judge, Aaron",NYY,1,573186,R,1.0
210,210.0,2018-04-22 00:00:00,529734,0,4,0,"Judge, Aaron",NYY,1,448802,L,1.0
211,211.0,2018-04-23 00:00:00,529740,1,5,0,"Judge, Aaron",NYY,1,543606,R,1.0
212,212.0,2018-04-24 00:00:00,529753,3,5,1,"Judge, Aaron",NYY,1,621244,R,1.0
213,213.0,2018-04-25 00:00:00,529768,1,4,0,"Judge, Aaron",NYY,1,458681,R,1.0
214,214.0,2018-04-26 00:00:00,529781,0,4,0,"Judge, Aaron",NYY,1,502043,R,1.0
215,215.0,2018-04-27 00:00:00,529794,0,5,0,"Judge, Aaron",LAA,0,571760,L,1.0
216,216.0,2018-04-28 00:00:00,529809,3,6,0,"Judge, Aaron",LAA,0,572070,R,1.0
217,217.0,2018-04-29 00:00:00,529824,0,4,0,"Judge, Aaron",LAA,0,572140,L,1.0
218,218.0,2018-04-30 00:00:00,529834,0,1,0,"Judge, Aaron",HOU,0,502748,R,1.0
219,219.0,2018-05-01 00:00:00,529848,1,4,0,"Judge, Aaron",HOU,0,434378,R,1.0
220,220.0,2018-05-02 00:00:00,529863,1,4,0,"Judge, Aaron",HOU,0,572971,L,1.0
221,221.0,2018-05-03 00:00:00,529877,0,6,0,"Judge, Aaron",HOU,0,621121,R,1.0
222,222.0,2018-05-04 00:00:00,529883,2,5,1,"Judge, Aaron",NYY,1,458708,R,1.0
223,223.0,2018-05-05 00:00:00,529898,0,4,0,"Judge, Aaron",NYY,1,545333,R,1.0
224,224.0,2018-05-06 00:00:00,529914,1,4,0,"Judge, Aaron",NYY,1,605182,R,1.0
225,225.0,2018-05-08 00:00:00,529935,1,4,0,"Judge, Aaron",NYY,1,519141,L,2.0
226,226.0,2018-05-09 00:00:00,529950,3,5,1,"Judge, Aaron",NYY,1,519144,R,1.0
227,227.0,2018-05-10 00:00:00,529963,1,5,0,"Judge, Aaron",NYY,1,593958,L,1.0
228,228.0,2018-05-11 00:00:00,529980,1,5,1,"Judge, Aaron",NYY,1,608665,R,1.0
229,229.0,2018-05-12 00:00:00,529995,1,6,1,"Judge, Aaron",NYY,1,592811,R,1.0
230,230.0,2018-05-13 00:00:00,530010,2,5,0,"Judge, Aaron",NYY,1,474463,L,1.0
231,231.0,2018-05-15 00:00:00,530032,0,5,0,"Judge, Aaron",WSH,0,461829,L,2.0
232,232.0,2018-05-18 00:00:00,530071,0,4,0,"Judge, Aaron",KC,0,596001,R,3.0
233,233.0,2018-05-19 00:00:00,530086,0,5,0,"Judge, Aaron",KC,0,518633,L,1.0
234,234.0,2018-05-20 00:00:00,530101,0,5,0,"Judge, Aaron",KC,0,607215,L,1.0
235,235.0,2018-05-21 00:00:00,530114,2,5,1,"Judge, Aaron",TEX,0,112526,R,1.0
236,236.0,2018-05-22 00:00:00,530126,0,4,0,"Judge, Aaron",TEX,0,430935,L,1.0
237,237.0,2018-05-23 00:00:00,530141,2,5,1,"Judge, Aaron",TEX,0,450729,R,1.0
238,238.0,2018-05-25 00:00:00,530161,0,4,0,"Judge, Aaron",NYY,1,571760,L,2.0
239,239.0,2018-05-26 00:00:00,530176,2,4,1,"Judge, Aaron",NYY,1,642545,R,1.0
240,240.0,2018-05-27 00:00:00,530191,1,4,0,"Judge, Aaron",NYY,1,572070,R,1.0
241,241.0,2018-05-28 00:00:00,530202,0,4,0,"Judge, Aaron",NYY,1,434378,R,1.0
242,242.0,2018-05-29 00:00:00,530217,2,5,1,"Judge, Aaron",NYY,1,450203,R,1.0
243,243.0,2018-05-30 00:00:00,530232,2,4,0,"Judge, Aaron",NYY,1,572971,L,1.0
244,244.0,2018-06-01 00:00:00,530262,1,5,1,"Judge, Aaron",BAL,0,488768,R,2.0
245,245.0,2018-06-02 00:00:00,530277,1,5,0,"Judge, Aaron",BAL,0,592332,R,1.0
246,246.0,2018-06-04 00:00:00,529619,0,5,0,"Judge, Aaron",DET,0,572403,R,2.0
247,247.0,2018-06-04 00:00:00,529634,0,5,0,"Judge, Aaron",DET,0,572403,R,2.0
248,248.0,2018-06-06 00:00:00,530328,1,6,1,"Judge, Aaron",TOR,0,543208,R,2.0
